Store,Date,Num_Visitors,Num_Sales,Weekly_Sales,Promo_Week
Seattle,2010-07-05,3256,1573,335237.34,False
Seattle,2010-07-16,2703,1750,330525.74,False
Seattle,2010-07-23,2917,1595,323996.64,False
Seattle,2010-07-30,3317,1973,344366.3299999999,False
Seattle,2010-08-10,3144,1567,345812.75000000006,False
Seattle,2010-08-13,3724,1914,391208.18,True
Seattle,2010-08-20,3350,2106,385092.45999999996,False
Seattle,2010-08-27,2423,1508,344421.14,False
Seattle,2010-09-04,2842,1796,332682.28,False
Seattle,2010-09-07,3467,1591,323415.37000000005,False
Seattle,2010-09-17,3475,1633,330036.14,False
Seattle,2010-09-24,3217,1362,317553.75,False
Seattle,2010-10-09,2604,1531,324176.86,False
Seattle,2010-10-12,4102,2199,507088.32999999996,False
Seattle,2010-10-15,3171,1400,337652.23,False
Seattle,2010-10-22,3308,1954,351789.57999999996,True
Seattle,2010-10-29,2959,1626,366945.91,False
Seattle,2010-11-06,3109,1837,307901.17000000004,False
Seattle,2010-11-19,2840,1862,373254.56000000006,False
Seattle,2010-11-26,4424,3054,560862.1900000001,False
Seattle,2010-12-02,3554,1840,387200.05,True
Seattle,2010-12-03,3096,1549,332302.41000000003,False
Seattle,2010-12-11,3405,1601,346824.94,True
Seattle,2010-12-17,5024,3624,660804.1599999999,True
Seattle,2010-12-24,6347,5715,889005.53,False
Seattle,2010-12-31,3303,1692,338940.54,False
Seattle,2011-01-04,3533,1437,324600.14,False
Seattle,2011-01-07,3309,1754,358900.02,False
Seattle,2011-01-14,2845,1294,316552.83,False
Seattle,2011-01-21,3108,1492,323523.72000000003,False
Seattle,2011-01-28,3134,1723,320771.18,False
Seattle,2011-02-09,2614,2105,360044.01999999996,False
Seattle,2011-02-12,3296,1916,411965.74000000005,False
Seattle,2011-02-18,3554,2030,411695.02,False
Seattle,2011-02-25,3321,1856,359480.29000000004,False
Seattle,2011-03-06,2853,1657,357640.08999999997,False
Seattle,2011-03-18,2949,1644,355048.95,False
Seattle,2011-03-25,3213,1576,330261.43,False
Seattle,2011-04-02,2824,1777,361120.91,False
Seattle,2011-04-03,3246,2069,367821.41000000003,False
Seattle,2011-04-11,3028,2041,433583.79,False
Seattle,2011-04-15,3113,1563,338513.75,False
Seattle,2011-04-22,3251,2078,410039.01999999996,False
Seattle,2011-04-29,2838,1611,335466.99,False
Seattle,2011-05-08,3560,1766,390411.58,False
Seattle,2011-05-13,3088,1753,328222.49,True
Seattle,2011-05-20,2793,1826,337721.20000000007,True
Seattle,2011-05-27,4522,1731,343607.97,False
Seattle,2011-06-05,3123,1638,341738.42,False
Seattle,2011-06-17,2920,1808,356984.80000000005,False
Seattle,2011-06-24,2446,1483,340356.58999999997,False
Seattle,2011-07-01,3219,1735,330112.69000000006,False
Seattle,2011-07-10,2922,1911,382966.93000000005,False
Seattle,2011-07-15,3047,1603,347060.42000000004,True
Seattle,2011-07-22,3099,1659,361270.23,False
Seattle,2011-07-29,3355,1840,350562.98,False
Seattle,2011-08-04,3807,1739,347283.64999999997,False
Seattle,2011-08-07,2739,1700,335070.29,False
Seattle,2011-08-19,2824,1716,410366.26,False
Seattle,2011-08-26,2598,1493,348155.42,False
Seattle,2011-09-09,3601,2066,352661.06,True
Seattle,2011-09-12,3404,2297,493639.47,True
Seattle,2011-09-16,3721,1745,346116.93999999994,False
Seattle,2011-09-23,2791,1584,347459.18000000005,False
Seattle,2011-09-30,3474,1836,331995.65,True
Seattle,2011-10-06,3705,1964,343418.79000000004,True
Seattle,2011-10-14,2944,1904,360314.30000000005,False
Seattle,2011-10-21,3232,1807,388430.25,True
Seattle,2011-10-28,3931,2064,397699.44,True
Seattle,2011-11-02,3010,1659,385766.8,False
Seattle,2011-11-03,3402,1807,338053.74,False
Seattle,2011-11-11,3696,1949,389605.74,False
Seattle,2011-11-18,3481,1798,388421.77999999997,True
Seattle,2011-11-25,4164,2631,577433.8,False
Seattle,2011-12-08,3582,1485,366438.94,False
Seattle,2011-12-16,4539,2810,641924.61,True
Seattle,2011-12-23,5571,4418,878518.18,False
Seattle,2011-12-30,3678,2031,380439.25,True
Seattle,2012-01-06,2985,1762,379761.38,False
Seattle,2012-01-13,3057,2053,319647.24,True
Seattle,2012-01-20,3421,1440,332719.25,False
Seattle,2012-01-27,2897,1439,324949.11000000004,False
Seattle,2012-02-03,3530,1870,381636.54000000004,False
Seattle,2012-02-17,3529,1956,449376.7700000001,False
Seattle,2012-02-24,3056,1775,380841.41000000003,False
Seattle,2012-03-02,3205,2119,369910.58,True
Seattle,2012-03-08,3341,1822,384843.78,True
Seattle,2012-03-16,3445,1986,378684.01999999996,False
Seattle,2012-03-23,2825,1499,344685.44,False
Seattle,2012-03-30,4090,2078,361711.02999999997,True
Seattle,2012-04-05,2800,1606,355961.92000000004,False
Seattle,2012-04-13,2980,1582,361493.98,False
Seattle,2012-04-20,3293,1703,353735.02,True
Seattle,2012-04-27,2666,1533,336729.13,True
Seattle,2012-05-10,3371,1792,384091.19,False
Seattle,2012-05-18,3757,2077,360883.65,True
Seattle,2012-05-25,3503,1948,368261.76999999996,False
Seattle,2012-06-01,3195,1792,350452.92,False
Seattle,2012-06-04,3929,2129,451403.29999999993,False
Seattle,2012-06-07,3053,1796,368294.2,True
Seattle,2012-06-15,3844,1784,364960.21,True
Seattle,2012-06-22,2275,1668,355789.41000000003,False
Seattle,2012-06-29,2778,1535,353550.95,False
